Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
237514020,77319,cudaGetDeviceProperties,0,105,29549,29549,20,mnistCUDNN_impr
237902398,879,cuGetProcAddress,0,106,29549,29549,20,mnistCUDNN_impr
237903556,367,cuGetProcAddress,0,107,29549,29549,20,mnistCUDNN_impr
237904033,132,cuGetProcAddress,0,108,29549,29549,20,mnistCUDNN_impr
237904267,393,cuGetProcAddress,0,109,29549,29549,20,mnistCUDNN_impr
237904760,299,cuGetProcAddress,0,110,29549,29549,20,mnistCUDNN_impr
237905161,317,cuGetProcAddress,0,111,29549,29549,20,mnistCUDNN_impr
237905580,237,cuGetProcAddress,0,112,29549,29549,20,mnistCUDNN_impr
237905913,232,cuGetProcAddress,0,113,29549,29549,20,mnistCUDNN_impr
237906253,237,cuGetProcAddress,0,114,29549,29549,20,mnistCUDNN_impr
237906589,304,cuGetProcAddress,0,115,29549,29549,20,mnistCUDNN_impr
237906993,271,cuGetProcAddress,0,116,29549,29549,20,mnistCUDNN_impr
237907375,280,cuGetProcAddress,0,117,29549,29549,20,mnistCUDNN_impr
237907749,230,cuGetProcAddress,0,118,29549,29549,20,mnistCUDNN_impr
237908076,536,cuGetProcAddress,0,119,29549,29549,20,mnistCUDNN_impr
237908709,286,cuGetProcAddress,0,120,29549,29549,20,mnistCUDNN_impr
237909091,239,cuGetProcAddress,0,121,29549,29549,20,mnistCUDNN_impr
237909427,227,cuGetProcAddress,0,122,29549,29549,20,mnistCUDNN_impr
237909754,227,cuGetProcAddress,0,123,29549,29549,20,mnistCUDNN_impr
237910074,163,cuGetProcAddress,0,124,29549,29549,20,mnistCUDNN_impr
237910338,221,cuGetProcAddress,0,125,29549,29549,20,mnistCUDNN_impr
237910655,137,cuGetProcAddress,0,126,29549,29549,20,mnistCUDNN_impr
237910887,244,cuGetProcAddress,0,127,29549,29549,20,mnistCUDNN_impr
237911227,155,cuGetProcAddress,0,128,29549,29549,20,mnistCUDNN_impr
237911477,165,cuGetProcAddress,0,129,29549,29549,20,mnistCUDNN_impr
237911746,213,cuGetProcAddress,0,130,29549,29549,20,mnistCUDNN_impr
237912058,119,cuGetProcAddress,0,131,29549,29549,20,mnistCUDNN_impr
237912272,117,cuGetProcAddress,0,132,29549,29549,20,mnistCUDNN_impr
237912497,144,cuGetProcAddress,0,133,29549,29549,20,mnistCUDNN_impr
237912735,92,cuGetProcAddress,0,134,29549,29549,20,mnistCUDNN_impr
237912921,173,cuGetProcAddress,0,135,29549,29549,20,mnistCUDNN_impr
237913188,82,cuGetProcAddress,0,136,29549,29549,20,mnistCUDNN_impr
237913364,76,cuGetProcAddress,0,137,29549,29549,20,mnistCUDNN_impr
237913546,231,cuGetProcAddress,0,138,29549,29549,20,mnistCUDNN_impr
237913870,106,cuGetProcAddress,0,139,29549,29549,20,mnistCUDNN_impr
237914071,244,cuGetProcAddress,0,140,29549,29549,20,mnistCUDNN_impr
237914412,205,cuGetProcAddress,0,141,29549,29549,20,mnistCUDNN_impr
237914710,138,cuGetProcAddress,0,142,29549,29549,20,mnistCUDNN_impr
237914939,288,cuGetProcAddress,0,143,29549,29549,20,mnistCUDNN_impr
237915323,211,cuGetProcAddress,0,144,29549,29549,20,mnistCUDNN_impr
237915628,163,cuGetProcAddress,0,145,29549,29549,20,mnistCUDNN_impr
237915882,102,cuGetProcAddress,0,146,29549,29549,20,mnistCUDNN_impr
237916091,290,cuGetProcAddress,0,147,29549,29549,20,mnistCUDNN_impr
237916475,93,cuGetProcAddress,0,148,29549,29549,20,mnistCUDNN_impr
237916665,192,cuGetProcAddress,0,149,29549,29549,20,mnistCUDNN_impr
237916959,163,cuGetProcAddress,0,150,29549,29549,20,mnistCUDNN_impr
237917227,166,cuGetProcAddress,0,151,29549,29549,20,mnistCUDNN_impr
237917492,172,cuGetProcAddress,0,152,29549,29549,20,mnistCUDNN_impr
237917761,205,cuGetProcAddress,0,153,29549,29549,20,mnistCUDNN_impr
237918061,126,cuGetProcAddress,0,154,29549,29549,20,mnistCUDNN_impr
237918281,153,cuGetProcAddress,0,155,29549,29549,20,mnistCUDNN_impr
237918528,125,cuGetProcAddress,0,156,29549,29549,20,mnistCUDNN_impr
237918751,203,cuGetProcAddress,0,157,29549,29549,20,mnistCUDNN_impr
237919049,182,cuGetProcAddress,0,158,29549,29549,20,mnistCUDNN_impr
