Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
304477444,1952,642,,,,,,,,,,0.013,6688.524,Device,,NVIDIA GeForce RTX 3080 (0),1,,13,[CUDA memset]
1243167802,736,1644,,,,,,,,,,0.001,1565.217,Pageable,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Host-to-Device]
1243200186,416,1646,,,,,,,,,,0.000,307.692,Pageable,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Host-to-Device]
1243263034,3168,1648,,,,,,,,,,0.037,11636.343,Pageable,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Host-to-Device]
1243281498,416,1650,,,,,,,,,,0.000,307.692,Pageable,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Host-to-Device]
1243352218,7616,1652,,,,,,,,,,0.074,9680.634,Pageable,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Host-to-Device]
1243374842,416,1654,,,,,,,,,,0.000,615.385,Pageable,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Host-to-Device]
1243489147,12896,1656,,,,,,,,,,0.147,11434.181,Pageable,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Host-to-Device]
1243508603,416,1658,,,,,,,,,,0.000,615.385,Pageable,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Host-to-Device]
1243718300,24416,1660,,,,,,,,,,0.295,12078.416,Pageable,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Host-to-Device]
1243748444,448,1662,,,,,,,,,,0.001,1142.857,Pageable,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Host-to-Device]
1244123485,47552,1664,,,,,,,,,,0.590,12403.409,Pageable,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Host-to-Device]
1244176957,416,1666,,,,,,,,,,0.001,1230.769,Pageable,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Host-to-Device]
1245986051,214561,1668,,,,,,,,,,2.359,10994.319,Pageable,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Host-to-Device]
1246206404,512,1670,,,,,,,,,,0.002,4000.000,Pageable,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Host-to-Device]
1246333348,42433,1672,,,,,,,,,,0.524,12355.371,Pageable,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Host-to-Device]
1246381733,448,1674,,,,,,,,,,0.001,2285.713,Pageable,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Host-to-Device]
1246400517,864,1676,,,,,,,,,,0.010,11851.848,Pageable,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Host-to-Device]
